ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
10.0,100000,0.9595959595959597,0.24788244949420388,0.2026443168948951,-0.045238132599308783
10.0,100000,0.9696969696969697,0.2504083894142069,0.20469501884667893,-0.04571337056752797
10.0,100000,0.9797979797979799,0.25293432933421,0.20674572079846276,-0.046188608535747244
10.0,100000,0.98989898989899,0.255460269254213,0.20879642275024657,-0.04666384650396643
10.0,100000,1.0,0.25798620917421605,0.2108471247020304,-0.04713908447218565
100.0,1000000,0.0,0.007798218607920151,0.007828145742255531,2.9927134335380398e-05
100.0,1000000,0.010101010101010102,0.009920978599222278,0.00955071200559727,-0.00037026659362500783
100.0,1000000,0.020202020202020204,0.012043738590524405,0.011273278268939008,-0.0007704603215853978
100.0,1000000,0.030303030303030304,0.014166498581826531,0.012995844532280747,-0.0011706540495457843
100.0,1000000,0.04040404040404041,0.01628925857312866,0.014718410795622482,-0.0015708477775061777
100.0,1000000,0.05050505050505051,0.01841201856443079,0.016440977058964225,-0.001971041505466564
100.0,1000000,0.06060606060606061,0.020534778555732915,0.01816354332230596,-0.002371235233426954
100.0,1000000,0.07070707070707072,0.022657538547035044,0.0198861095856477,-0.002771428961387344
100.0,1000000,0.08080808080808081,0.02478029853833717,0.021608675848989435,-0.003171622689347734
100.0,1000000,0.09090909090909091,0.026903058529639295,0.023331242112331174,-0.0035718164173081206
100.0,1000000,0.10101010101010102,0.029025818520941424,0.025053808375672913,-0.0039720101452685105
100.0,1000000,0.11111111111111112,0.03114857851224355,0.02677637463901465,-0.0043722038732289005
100.0,1000000,0.12121212121212122,0.033271338503545675,0.028498940902356388,-0.004772397601189287
100.0,1000000,0.13131313131313133,0.03539409849484781,0.030221507165698127,-0.00517259132914968
100.0,1000000,0.14141414141414144,0.03751685848614993,0.03194407342903987,-0.0055727850571100634
100.0,1000000,0.15151515151515152,0.03963961847745205,0.0336666396923816,-0.00597297878507045
100.0,1000000,0.16161616161616163,0.041762378468754184,0.03538920595572334,-0.006373172513030843
100.0,1000000,0.17171717171717174,0.04388513846005632,0.03711177221906508,-0.006773366240991237
100.0,1000000,0.18181818181818182,0.046007898451358435,0.03883433848240681,-0.007173559968951623
100.0,1000000,0.19191919191919193,0.04813065844266057,0.04055690474574856,-0.00757375369691201
100.0,1000000,0.20202020202020204,0.0502534184339627,0.0422794710090903,-0.007973947424872403
100.0,1000000,0.21212121212121213,0.05237617842526482,0.04400203727243203,-0.00837414115283279
100.0,1000000,0.22222222222222224,0.054498938416566944,0.04572460353577377,-0.008774334880793176
100.0,1000000,0.23232323232323235,0.05662169840786908,0.04744716979911551,-0.00917452860875357
100.0,1000000,0.24242424242424243,0.058744458399171195,0.049169736062457246,-0.00957472233671395
100.0,1000000,0.25252525252525254,0.06086721839047333,0.050892302325798985,-0.009974916064674343
100.0,1000000,0.26262626262626265,0.06298997838177546,0.05261486858914072,-0.010375109792634743
100.0,1000000,0.27272727272727276,0.06511273837307759,0.054337434852482464,-0.010775303520595123
100.0,1000000,0.2828282828282829,0.06723549836437973,0.0560600011158242,-0.011175497248555523
100.0,1000000,0.29292929292929293,0.06935825835568184,0.057782567379165935,-0.011575690976515902
100.0,1000000,0.30303030303030304,0.07148101834698396,0.059505133642507674,-0.011975884704476289
100.0,1000000,0.31313131313131315,0.0736037783382861,0.06122769990584941,-0.01237607843243669
100.0,1000000,0.32323232323232326,0.07572653832958821,0.06295026616919115,-0.012776272160397062
100.0,1000000,0.33333333333333337,0.07784929832089035,0.0646728324325329,-0.013176465888357455
100.0,1000000,0.3434343434343435,0.07997205831219248,0.06639539869587463,-0.013576659616317849
100.0,1000000,0.3535353535353536,0.0820948183034946,0.06811796495921636,-0.013976853344278242
100.0,1000000,0.36363636363636365,0.08421757829479673,0.0698405312225581,-0.014377047072238636
100.0,1000000,0.37373737373737376,0.08634033828609886,0.07156309748589984,-0.014777240800199015
100.0,1000000,0.38383838383838387,0.08846309827740098,0.07328566374924159,-0.015177434528159395
100.0,1000000,0.393939393939394,0.0905858582687031,0.07500823001258332,-0.015577628256119788
100.0,1000000,0.4040404040404041,0.09270861826000525,0.07673079627592506,-0.01597782198408018
100.0,1000000,0.4141414141414142,0.09483137825130737,0.07845336253926681,-0.01637801571204056
100.0,1000000,0.42424242424242425,0.0969541382426095,0.08017592880260853,-0.01677820944000097
100.0,1000000,0.43434343434343436,0.09907689823391161,0.08189849506595027,-0.017178403167961334
100.0,1000000,0.4444444444444445,0.10119965822521373,0.083621061329292,-0.017578596895921728
100.0,1000000,0.4545454545454546,0.10332241821651587,0.08534362759263374,-0.017978790623882135
100.0,1000000,0.4646464646464647,0.105445178207818,0.08706619385597548,-0.018378984351842514
100.0,1000000,0.4747474747474748,0.10756793819912014,0.08878876011931723,-0.018779178079802908
100.0,1000000,0.48484848484848486,0.10969069819042225,0.09051132638265896,-0.019179371807763287
100.0,1000000,0.494949494949495,0.11181345818172438,0.0922338926460007,-0.01957956553572368
100.0,1000000,0.5050505050505051,0.1139362181730265,0.09395645890934244,-0.01997975926368406
